{130 0 66.638 "RhytmicBounceA_long" }
0 SMALL COLORA 1.5 56.25245
0 SMALL COLORA 1.5 57.26934
0 SMALL COLORA 1.5 58.33245
0 SMALL COLORA 1.5 59.16445
0 SMALL COLORA 1.5 60.22756
0 SMALL COLORA 1.5 61.19823
0 SMALL COLORA 1.5 62.1689
0 SMALL COLORA 1.5 63.09334
0 SMALL COLORA 1.5 64.01778
/*30.016 current pos*/
0 SMALL COLORA 1.5 65.08089
0 SMALL COLORA 1.5 66.09779
0 SMALL COLORA 1.5 67.06845
0 SMALL COLORA 1.5 68.08534
0 SMALL COLORA 1.5 69.10223
0 SMALL COLORA 1.5 70.11912
0 SMALL COLORA 1.5 71.13601
0 SMALL COLORA 1.5 72.1529
0 SMALL COLORA 1.5 73.12356
0 SMALL COLORA 1.5 74.14045
0 SMALL COLORA 1.5 75.20356
0 SMALL COLORA 1.5 76.12801
0 SMALL COLORA 1.5 77.19112
0 SMALL COLORA 1.5 78.20801
0 SMALL COLORA 1.5 79.27112
0 SMALL COLORA 1.5 80.24178
0 SMALL COLORA 1.5 81.12
0 SMALL COLORA 1.5 82.18311
0 SMALL COLORA 1.5 83.06134
0 SMALL COLORA 1.5 84.12444
0 SMALL COLORA 1.5 85.09512
0 SMALL COLORA 1.5 86.11201
/*40 current pos*/
0 SMALL COLORA 1.5 86.99023
0 SMALL COLORA 1.5 88.00712
0 SMALL COLORA 1.5 88.97778
0 SMALL COLORA 1.5 89.99467
0 SMALL COLORA 1.5 91.10401
0 SMALL COLORA 1.5 92.07467
0 SMALL COLORA 1.5 93.13779
0 SMALL COLORA 1.5 94.2009
0 SMALL COLORA 1.5 95.12534
0 SMALL COLORA 1.5 96.14223
0 SMALL COLORA 1.5 97.06667
0 SMALL COLORA 1.5 97.99112
0 SMALL COLORA 1.5 99.008
0 SMALL COLORA 1.5 100.0249
0 SMALL COLORA 1.5 100.9956
0 SMALL COLORA 1.5 102.0587
0 SMALL COLORA 1.5 103.168
0 SMALL COLORA 1.5 104.0925
0 SMALL COLORA 1.5 105.1093
0 SMALL COLORA 1.5 106.08
0 SMALL COLORA 1.5 107.0969
0 SMALL COLORA 1.5 108.16
/*50.00534 current pos*/
0 SMALL COLORA 1.5 109.1307
0 SMALL COLORA 1.5 110.1476
0 SMALL COLORA 1.5 111.1182
0 SMALL COLORA 1.5 112.1351
0 SMALL COLORA 1.5 113.152
0 SMALL COLORA 1.5 114.0764
0 SMALL COLORA 1.5 115.0471
0 SMALL COLORA 1.5 116.1102
0 SMALL COLORA 1.5 117.0347
0 SMALL COLORA 1.5 118.0516
0 SMALL COLORA 1.5 119.1147
0 SMALL COLORA 1.5 120.0391
0 SMALL COLORA 1.5 121.1485
0 SMALL COLORA 1.5 122.0267
0 SMALL COLORA 1.5 123.0436
0 SMALL COLORA 1.5 124.0605
0 SMALL COLORA 1.5 125.1236
0 SMALL COLORA 1.5 126.1867
0 SMALL COLORA 1.5 127.2036
0 SMALL COLORA 1.5 128.1742
0 SMALL COLORA 1.5 129.1911
/*60.01067 current pos*/
0 SMALL COLORA 1.5 130.1618
0 SMALL COLORA 1.5 131.0862
0 SMALL COLORA 1.5 132.0569
0 SMALL COLORA 1.5 132.9813
0 SMALL COLORA 1.5 133.952
0 SMALL COLORA 1.5 135.0613
0 SMALL COLORA 1.5 136.032
0 SMALL COLORA 1.5 137.0951
0 SMALL COLORA 1.5 138.112
0 SMALL COLORA 1.5 139.1751
0 SMALL COLORA 1.5 140.1458
0 SMALL COLORA 1.5 141.3013
0 SMALL COLORA 1.5 142.3182
0 SMALL COLORA 1.5 143.3813
